Under 5 Clinic Attendance,,,,,,,,,
18,CHN2-045,Weight below -3Z scores 0-23 months,LpkrzZezPhP,Number of total children age 0-23 months whose weight is below -3Z scores,As per WHO standard,Integer,"Growth Monitoring, Out of Area Service",Monthly,
19,CHN2-050,Weight below -3Z scores 24-59 months,AzLJv6qTtPO,Number of total children age 24-59 months whose weight is below -3Z scores,As per WHO standard,Integer,"Growth Monitoring, Out of Area Service",Monthly,
20,CHN2-051,Total weight below -3Z scores < five years,OM9x7oS2qke,Number of total children age < 5 years whose weight below -3Z scores,"[CHN2-045] + [CHN2-050][Non-editable in the form]",Integer,NA,Monthly,
21,CHN2-055,Weight above 2Z scores 0-23 months,gdrQ69fCF8B,Number of total children age 0-23 months whose weight is above 2Z scores,As per WHO standard,Integer,"Growth Monitoring, Out of Area Service",Monthly,
22,CHN2-060,Weight above 2Z scores 24-59 months,ke26q8KPQPM,Number of total children age 24-59 months whose weight is above 2Z scores,As per WHO standard,Integer,"Growth Monitoring, Out of Area Service",Monthly,
23,CHN2-061,Total weight above 2Z scores < five years,Yi4grVdr9Q5,Number of total children age < 5 years whose weight is above 2Z scores,"[CHN-055] + [CHN-060][Non-editable in the form]",Integer,NA,Monthly,
"Vitamin A, Deworming, and ITNs",,,,,,,,,
24,CHN2-065,Vitamin A supplement to infants and children 6-11 months,DSbbltBORY3,Number of children age 6-11 months who received vitamin A at this facility in this month,COUNT Number of children age 6-11 months [Date_Birth] who received vitamin A [Vit_A_Provided] at this facility in this month [Vit_A_Provided_Date],Integer,Vitamin A,Monthly,
25,CHN2-070,Vitamin A supplement to infants and children 12-59 months,JfY9vBHsyzF,Number of children age 12-59 months who received vitamin A at this facility in this month,COUNT Number of children age 12-59 months [Date_Birth] who received vitamin A [Vit_A_Provided] at this facility in this month [Vit_A_Provided_Date],Integer,Vitamin A,Monthly,
26,CHN2-075,Deworming dose 12-59 months,B8nBT4kGhtB,Number of children age 12-59 months who received a deworming dose at this facility in this month ,COUNT Number of children age 12-59 months [Date_Birth] who received a deworming dose [Deworming_Provided] at this facility in this month [Deworming_Provided_Date],Integer,Deworming,Monthly,
27,CHN2-080,Children who received insecticide treated net,G4vWZAJ0uz7,Number of children who received insecticide treated nets at this facility in this month ,COUNT number of children who received insecticide treated nets [ITN_Provided] at this facility in this month [ITN_Provided_Date],Integer,ITN,Monthly,
Immunisation,,,,,,,,,
28,CHN3-005,BCG dose (< 1 year) at the facility,ZTeQmMrVmNR,Number of children < one year who received BCG dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received BCG dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
29,CHN3-005-O,BCG dose (< 1 year) at outreach,,Number of children < one year who received BCG dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received BCG dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
30,CHN3-010,OPV 0 (< 1 year) at facility ,rwNWKJC4dIO,Number of children < one year who received OPV0 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV0 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
31,CHN3-010-O,OPV 0 (< 1 year) at outreach,,Number of children < one year who received OPV0 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 0 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
32,CHN3-015,OPV 1 (< 1 year) at facility ,J3Kd9wHj7mR,Number of children < one year who received OPV1 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 1 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
33,CHN3-015-O,OPV 1 (< 1 year) at outreach,,Number of children < one year who received OPV1 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 1 [Name_ Vaccine] dose at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
34,CHN3-020,OPV 2 (< 1 year) at facility ,Jbxssr389B6,Number of children < one year who received OPV2 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 2 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
35,CHN3-020-O,OPV 2 (< 1 year) at outreach,,Number of children < one year who received OPV2 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 2 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
36,CHN3-025,OPV 3 (< 1 year) at facility ,dqsYPg0F8DJ,Number of children < one year who received OPV3 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 3 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
37,CHN3-025-O,OPV 3 (< 1 year) at outreach,,Number of children < one year who received OPV3 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 3 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
38,CHN3-027,IPV (< 1 year) at facility,D2pqQ1bux6B,Number of children < one year who received IPV dose at this facility in this month ,MANUAL ENTRY Number of children < one year who received IPV dose at this facility in this month ,Integer,NA,Monthly,
39,CHN3-027-O,IPV (< 1 year) at outreach,RAbXk70XDMq,Number of children < one year who received IPV dose at outreach conducted by this facility in this month ,MANUAL ENTRY Number of children < one year who received IPV dose at outreach conducted by this facility in this month ,Integer,NA,Monthly,
40,CHN3-030,OPV 4 (< 1 year) at facility ,poPXN7Wn3RL,Number of children < one year who received OPV4 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 4 [Name_Vaccine] dose at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
41,CHN3-030-O,OPV 4 (< 1 year) at outreach,,Number of children < one year who received OPV4 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received OPV 4 [Name_Vaccine] dose at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
42,CHN3-035,DPT-Hib-HepB 1 (< 1 year) at facility,N7VEEjo8AdV,Number of children < one year who received DPT-Hib+HepB 1 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received  DPT-Hib+HepB 1 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
43,CHN3-035-O,DPT-Hib-HepB 1 (< 1 year) at outreach,,Number of children < one year who received DPT-Hib+HepB 1 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received DPT-Hib+HepB 1 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
44,CHN3-040,DPT-Hib-HepB 2 (< 1 year) at facility,R2JLWtup2XR,Number of children < one year who received DPT-Hib+HepB 2 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received  DPT-Hib+HepB 2 [Name_Vaccine] dose at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
45,CHN3-040-O,DPT-Hib-HepB 2 (< 1 year) at outreach,,Number of children < one year who received DPT-Hib+HepB 2 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received DPT-Hib+HepB 2 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
46,CHN3-045,DPT-Hib-HepB 3 (< 1 year) at facility,ujEvTSZ0Wvn,Number of children < one year who received DPT-Hib+HepB 3 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received  DPT-Hib+HepB 3 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
47,CHN3-045-O,DPT-Hib-HepB 3 (< 1 year) at outreach,,Number of children < one year who received DPT-Hib+HepB 3 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received DPT-Hib+HepB 3 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
48,CHN3-050,PCV 1 (< 1 year) at facilty,dPpDhpO7GpB,Number of children < one year who received PCV 1 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received PCV 1 [Name_Vaccine] dose at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
49,CHN3-050-O,PCV 1 (< 1 year) at outreach,,Number of children < one year who received PCV 1 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received PCV 1 [Name_Vaccine] dose at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
50,CHN3-055,PCV 2 (< 1 year) at facilty,AU3Zp03Atnf,Number of children < one year who received PCV 2 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received PCV 2 [Name_Vaccine] dose at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
51,CHN3-055-O,PCV 2 (< 1 year) at outreach,,Number of children < one year who received PCV 2 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received PCV 2 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
52,CHN3-060,PCV 3 (< 1 year) at facility,K5XarM6QLxq,Number of children < one year who received PCV 3 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received PCV 3 [Name_Vaccine] dose at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
53,CHN3-060-O,PCV 3 (< 1 year) at outreach,,Number of children < one year who received PCV 3 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received PCV 3 [Name_Vaccine] dose at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
54,CHN3-065,RV 1 (< 1 year) at facility,ziezVvnYWj0,Number of children < one year who received RV 1  dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received RV 1 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
55,CHN3-065-O,RV 1 (< 1 year) at outreach,,Number of children < one year who received RV 1 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received RV 1 [Name_Vaccine] dose at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
56,CHN3-070,RV 2 (< 1 year) at facility,dpKLNY9JjRR,Number of children < one year who received RV 2  dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received RV 2 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
57,CHN3-070-O,RV 2 (< 1 year) at outreach,,Number of children < one year who received RV 2 dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received RV 2 [Name_Vaccine] dose at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
58,CHN3-075,Measles/MR 1 (< 1 year) at facility,zIM9ehVMkNW,Number of children < one year who received Measles/ MR 1 dose at this facility in this month ,COUNT Number of children < one year [Date_Birth] who received Measles / MR 1 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
59,CHN3-075-O,Measles/MR 1 (< 1 year) at outreach,,Number of children < one year who received Measles/ MR dose at outreach conducted by this facility in this month ,COUNT Number of children < one year [Date_Birth] who received Measles/ MR 1 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
60,CHN3-080,Fully immunised (< 1 year) at facility,dzllAar6RrI,"Number of children < one year who have received the complete BCG, OPV series, DPT-Hib+Hep1 series, PCV series , RV series and measles/MR 1 within 10 days of each antigen being due at this facility ",COUNT Number of children who are aged < 1 year [Date_Birth] who received all their vaccines up to and including Measles 1 / MR 1 at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
61,CHN3-080-O,Fully immunised (< 1 year) at outreach,,"Number of children < one year who have received the complete BCG, OPV series, DPT-Hib+Hep1 series, PCV series , RV series and measles/MR 1 within 10 days of each antigen being due at outreach conducted by this facility",COUNT Number of children who are aged < 1 year [Date_Birth] who received all their vaccines up to and including Measles 1 / MR 1 at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
62,CHN3-085,Measles/MR 2 (at 18 months) at facility,sqfX5MniMIH,Number of children at 18 months  who received Measles/ MR 2 dose at this facility in this month ,COUNT Number of children aged between 18 and 19 months only [Date_Birth] who received Measles 2 / MR 2 dose [Name_Vaccine] at this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
63,CHN3-085-O,Measles/MR 2 (at 18 months) at outreach,,Number of children  at 18 months who received Measles/ MR 2 dose at outreach conducted by this facility in this month ,COUNT Number of children aged between 18 and 19 months only [Date_Birth] who received Measles 2 / MR 2 dose [Name_Vaccine] at outreach conducted by this facility in this month ,Integer,"Birth Registration, Vaccination, Growth Monitoring, Out of Area Service",Monthly,
64,CHN3-090,Number of days fridge non-functional,FGJcw1TCM9D,Number of days during the month that vaccine storage fridge was not functioning ,MANUAL ENTRY Number of days during the month that vaccine storage fridge was not functioning ,Integer,NA,Monthly,
